#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7895.695071166338    All      0.16735575335345013        -0.041622688746922876      0.033856846501618375       -0.06656027821812746       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5345.007336292772    All      0.059599402860762235       0.07894079933756792        0.033382260602618195       0.007789826117056806       
Zeropoint     AB|PS|PS_z                            8650.931521518789    All      0.11306219647410201        -0.033956870028850616      -0.00933061216450425       -0.04830532911058297       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8231.431486791624    All      0.08383040228692482        -0.018367337395575056      0.038008841430922015       -0.031593005995590735      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4330.357315332906    All      -0.2520205468691552        0.15255118465431483        -0.09303652695657445       0.12763053007505518        
Zeropoint     AB|PS|PS_i                            7527.497615947296    All      0.12216521902908037        -0.031031272868031756      0.010100674671574343       -0.049450390705897865      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4457.36563774004     All      -0.6464708309971087        0.4380783324462012         -0.12975775469142162       0.3474828505050766         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6372.518378826614    All      0.5240389696279509         -0.0850469977595969        -0.01635334703772324       -0.1991291126813407        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5390.771569564013    All      0.22552747553639516        0.1817787129199111         -0.02939172164037339       -0.015562028821242739      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6370.173443220413    All      0.2834131805364875         -0.04036990122990858       0.047975336255199764       -0.10332588296398493       
Zeropoint     AB|PS|PS_g                            4893.823644410224    All      -0.29221785803827277       0.33786537167603825        0.10228991493899649        0.20980356614363307        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5479.179378152298    All      0.2255328380374516         0.11749502794009548        0.06182481823931749        -0.032432511400185556      
Zeropoint     AB|PS|PS_r                            6214.823806696266    All      0.3831410927307509         -0.06008128630616838       -0.04924422526199676       -0.14656965403837555       
Check         All|All|All                           All                  All      0.9969572945688191         0.9962330746390746         0.00032450488765294744     -0.00022142109450684622    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7895.695071166338    All      1.648558212411294e-05      2.256409488608012e-06      6.323655629150437e-05      -1.8129525809670452e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5345.007336292772    All      9.739621756148909e-06      1.0463242925673461e-05     9.887353896320798e-06      6.769344147623783e-07      
Lambda        AB|PS|PS_z                            8650.931521518789    All      3.778413955077005e-05      -1.8831729085027597e-05    -5.427544514207235e-05     -2.0863714860020053e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8231.431486791624    All      -5.9287359472418065e-06    1.677731773873996e-06      1.506747543516214e-06      2.5449160047483795e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4330.357315332906    All      -9.306236066993028e-05     4.382793974783043e-05      -9.793440627115134e-05     4.021931164775667e-05      
Lambda        AB|PS|PS_i                            7527.497615947296    All      -1.948957848561503e-05     2.3364829459401924e-06     -2.1636088299283464e-05    6.143947014512505e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4457.36563774004     All      -0.00027372631523270676    4.99558786954011e-05       -0.0007906597775345002     7.015042488790924e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6372.518378826614    All      -0.00016963478374590877    -1.3033116814854402e-05    -0.000376338065862034      3.421607554005072e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5390.771569564013    All      1.2371658393919849e-06     -3.572753690640511e-05     -0.0007306909967052655     -4.464800302749788e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6370.173443220413    All      -6.50494786382483e-05      8.136392345282207e-06      -2.3438196454397842e-05    2.2793106862957004e-05     
Lambda        AB|PS|PS_g                            4893.823644410224    All      1.0604655217990889e-05     -3.4388526986741636e-05    -0.00016014236917847119    -2.180217810494563e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5479.179378152298    All      5.959833499426804e-06      -6.0187152136492005e-06    -0.0001183853088428999     -9.184800007997816e-06     
Lambda        AB|PS|PS_r                            6214.823806696266    All      -9.039455574635357e-05     8.743751135824893e-06      -4.831314631900817e-05     3.0136614278981872e-05     
MWEBV         All|All|All                           All                  All      -0.828552210701051         -4.137757638369388         0.012432260107255521       -1.077362282747115         
Redshift      All|All|All                           All                  All      3.4417744052961297         0.4107584791678276         -0.6352101408018881        -1.015648115771388         
