#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5718.368836894226    All      0.5134537839159578        0.31525708470372393        -1.9346238484416522       -0.15089256236115317      
Zeropoint     AB|PS|PS_i                6926.183126937409    All      0.907523291312249         -0.14182339992032666       1.1354272812684862        -0.2911378350810401       
Zeropoint     AB|PS|PS_z                7959.874448806989    All      0.4564692418331512        -0.1098058222824605        0.1779491129422217        -0.17651336665880368      
Zeropoint     AB|PS|PS_g                4502.893322783983    All      -0.8791112199959366       0.9354195272340604         0.6203144910996716        0.6187341473976066        
Check         All|All|All               All                  All      0.9983350970654213        0.9990473897349972         -0.0009329631312726683    0.00019038329660958642    
Lambda        AB|PS|PS_r                5718.368836894226    All      -0.0003317557571920355    -0.00012794912245853537    -0.0024386712083239734    -4.244016964393624e-05    
Lambda        AB|PS|PS_i                6926.183126937409    All      -0.0006814692714034552    5.980143776031446e-05      -0.0010468564075687178    0.00019473986362438284    
Lambda        AB|PS|PS_z                7959.874448806989    All      -6.339761605793763e-05    5.387926030426089e-05      0.00024695886632545303    4.9221576888855244e-05    
Lambda        AB|PS|PS_g                4502.893322783983    All      -0.0002085109740611043    0.00013450662804208983     -9.007406940543851e-05    0.00010771252592659579    
MWEBV         All|All|All               All                  All      -0.6066732449130452       -3.7518685008457453        0.10440490422265469       -1.0198344573466438       
Redshift      All|All|All               All                  All      4.938895368468747         0.31548713845275245        7.677853175583782         -1.1633688420068455       
