#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5718.368836894226    All      0.467564249985764          0.36677458790066453        -2.152665479443436         -0.12889408233513036       
Zeropoint     AB|PS|PS_i                6926.183126937409    All      1.007260094402957          -0.15370487328212334       1.3669505393807007         -0.3171637601921578        
Zeropoint     AB|PS|PS_z                7959.874448806989    All      0.4139826453116484         -0.10895232756631401       0.13071528206944064        -0.16450390203076518       
Zeropoint     AB|PS|PS_g                4502.893322783983    All      -0.8913642913271663        0.8951519604490699         0.6528405688898133         0.611060394043694          
Check         All|All|All               All                  All      0.9974426983732031         0.999269347501297          -0.002159089103481282      0.000498649485640712       
Lambda        AB|PS|PS_r                5718.368836894226    All      -0.0003312543804878977     -0.00019344217359097484    -0.0020275331618121533     -4.5589523215420886e-05    
Lambda        AB|PS|PS_i                6926.183126937409    All      -0.0007333407614669529     9.873127172870516e-05      -0.0011794308857573988     0.00021840065206739232     
Lambda        AB|PS|PS_z                7959.874448806989    All      -0.00013604664571506528    4.519025494058784e-05      -1.2990295967190869e-05    5.8455123813728986e-05     
Lambda        AB|PS|PS_g                4502.893322783983    All      -9.598849926761868e-05     2.3297172294915587e-06     -0.0002469044983482877     2.1007263916415256e-05     
MWEBV         All|All|All               All                  All      -0.596275864671223         -3.755283356210981         0.1094094688935301         -1.0241102261567898        
Redshift      All|All|All               All                  All      4.8979182844884575         0.5115337702582323         6.405705490562837          -1.142932528346292         
