#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4531.99529521137     All      4.054496190673024          0.8379686627725036         0.36404517797676134       -1.0314831721556041       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3784.544094554284    All      -3.06634993712695          0.16387204163663682        -0.3604712319687298       1.036103394131554         
Check         All|All|All                            All                  All      0.9881462535460745         1.0018407044091404         0.0035739460080315144     0.004620221975949912      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4531.99529521137     All      -0.00044223021913772625    -0.00031670640142802774    -0.0030547170373389242    -9.543075452955511e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3784.544094554284    All      -0.0035026229722501133     0.00011834546663117919     -0.0011473923993238478    0.001128265693867728      
MWEBV         All|All|All                            All                  All      -0.19593582673646792       -1.8516179412266354        -0.007130886009673842     -0.5396283537047207       
Redshift      All|All|All                            All                  All      12.468106881169021         1.887919790679149          7.320044468561597         -3.119655048305191        
