@INSTRUMENT MOSAICII
@BAND MOSAICII_I
@MAGSYS Linear_AB11_off
#Date : MJD
#Flux : 
#Fluxerr : 
#ZP : 
#end
52932.028  0.2604  0.7422  25.0
52936.0359  -3.5149  2.4617  25.0
52942.0334  -1.4291  0.8112  25.0
52960.059  0.2298  1.3732  25.0
52964.0655  -0.6103  1.0232  25.0
52966.1416  0.8347  1.1023  25.0
52970.0598  -0.6568  0.9353  25.0
52988.0669  -0.0226  1.0002  25.0
52996.058  -2.052  0.8493  25.0
52998.0527  2.1759  1.4808  25.0
53000.0593  1.0929  0.9282  25.0
53004.0798  1.7116  2.1615  25.0
53266.1222  -0.2629  1.5368  25.0
53268.0493  -1.2203  1.1651  25.0
53285.0336  2.8563  3.7584  25.0
53287.032  0.4244  1.4011  25.0
53291.032  2.9078  1.3209  25.0
53295.0312  3.7378  0.8152  25.0
53299.0417  5.4304  0.6983  25.0
53321.0422  6.6827  0.7281  25.0
53325.0462  6.7793  0.7314  25.0
53331.1048  8.9787  2.5599  25.0
53344.0711  1.7848  0.8788  25.0
53348.0597  2.6565  0.8245  25.0
53354.0331  4.0451  1.1418  25.0
53356.0626  1.9363  0.9568  25.0
53360.0541  2.279  1.3626  25.0
53639.0686  0.8875  0.6993  25.0
53641.0378  1.3438  1.5714  25.0
53649.012  1.2372  1.6298  25.0
53652.0338  -0.4736  1.4264  25.0
53654.0378  -0.3565  0.9747  25.0
53698.0459  1.4482  1.3233  25.0
