#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4996.847416665822    All      -2.1554240566092298        1.6570816246385789       -0.5150289497051942        1.2188751515108134        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5983.729722109536    All      3.1536983986037925         -0.6537034196806957      0.520437123433958          -1.2169713134768847       
Check         All|All|All                            All                  All      0.9982743419945628         1.0033782049578832       0.005408173728763788       0.0019038380339286842     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4996.847416665822    All      -0.00042170381873467126    6.484656193687414e-06    -0.0021995157715624563     4.132078639228083e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5983.729722109536    All      -0.0004086819071059198     7.101136026853793e-05    -0.00022750617782666988    0.00014609932280527818    
MWEBV         All|All|All                            All                  All      -0.4400584120204427        -2.8173325530218563      -0.018086539898790548      -0.77516351692754         
Redshift      All|All|All                            All                  All      1.737034000865643          0.7215740709012763       3.4895434515077857         -0.17504640948136804      
