#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4996.847416665822    All      -2.2445064461906057       1.6173052714901104        -0.9266865860919404       1.2165653600606257        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5983.729722109536    All      3.2416188393873018        -0.6136678812728391       0.9299896107069161        -1.2142925550466754       
Check         All|All|All                            All                  All      0.9971123931966956        1.0036373902172713        0.0033030246149756692     0.0022728050139502187     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4996.847416665822    All      -0.0004493254232547215    -9.861703828415458e-05    -0.0025136978339078864    2.062469617324577e-06     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5983.729722109536    All      -0.0007811244229896567    0.00011975407120134662    -0.0003959201881577403    0.00027577766397830387    
MWEBV         All|All|All                            All                  All      -0.4415662094418651       -2.818098460627283        -0.024207870976500345     -0.7751950258987617       
Redshift      All|All|All                            All                  All      4.296375847173634         0.6707368805052738        5.595709136263927         -0.9312790928339421       
