#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5220.099292913619    All      3.5945734013288835        0.08479288288416598      0.2563717113588507        -1.1318102912014838       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4359.160737182945    All      -2.5976653586004046       0.9172784111912691       -0.2568719014042228       1.133469810846676         
Check         All|All|All                            All                  All      0.9969080427284789        1.002071294075435        -0.0005001900453721064    0.0016595196451922867     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5220.099292913619    All      0.0007872054374493015     3.174270196639447e-05    -0.0004040118204141612    -0.0002641082589184518    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4359.160737182945    All      -0.0002578743090964186    2.062348756380303e-05    -0.0011250021792765588    4.0512214364603604e-05    
MWEBV         All|All|All                            All                  All      -0.07677406859100344      -2.336063881296546       -0.0010585959022609978    -0.7359722606984211       
Redshift      All|All|All                            All                  All      2.077823183967173         -0.5447233654125583      -3.43069670578488         -1.0073459277108339       
