#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5220.099292913619    All      3.5091198281323206       0.10212418037749416        0.13156339310012033        -1.1038994993159967        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4359.160737182945    All      -2.5126691919994064      0.899273200865025          -0.13844302707313183       1.1052038104740758         
Check         All|All|All                            All                  All      0.996450636132914        1.0013973812425192         -0.006879633973011501      0.0013043111580790523      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5220.099292913619    All      0.0002135845418284514    1.2275691826068345e-05     -0.00027588721999480937    -7.788449483442082e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4359.160737182945    All      0.0002855905809078798    -0.00018062898366170787    -0.0011513151964959217     -0.00020324095976857623    
MWEBV         All|All|All                            All                  All      -0.07462072782107265     -2.336001667693921         -0.0052816036436587055     -0.7368418630527784        
Redshift      All|All|All                            All                  All      3.007396669118636        0.12843322938085322        -3.6770066494420606        -1.1018610262903406        
