#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8208.259997382691    All      0.05089696941255702        0.005877111250995881      0.028720710420277643       -0.013382775515955406     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6355.814607532425    All      0.3783073799269716         -0.029569055915690257     0.2581940320222939         -0.1213367600832598       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7930.267452160784    All      0.28590568972023056        -0.1210364440541234       0.051705222165683226       -0.13024707437708644      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5405.83467772338     All      0.34826712006389043        0.5949767569729758        -0.28194134068905385       0.06777969812204722       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4411.719639291858    All      -0.27872851243322755       0.1229573941821549        -0.013916914747861641      0.13022126687131122       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4385.816773751232    All      -0.8758078379735473        0.6230778939453785        -0.15226973418822137       0.4814412958746383        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5372.475507367399    All      0.1606218103597125         0.11719432524284201       0.28786209733884166        -0.0012997973229476264    
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6413.544440645529    All      0.9289132707904181         -0.3173794880160674       -0.1785421907893161        -0.4139260713174664       
Check         All|All|All                       All                  All      0.9983758898670051         0.996098493608466         -0.00018811846735652948    -0.0007502177487188622    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8208.259997382691    All      1.7460132241711409e-06     1.7208682979745617e-07    9.602826376015918e-07      -4.698266035903149e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6355.814607532425    All      -0.00011191211477811889    8.77739180613125e-06      -7.661383453951997e-05     3.589361930043515e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7930.267452160784    All      2.1474730325798052e-05     2.8564152000952325e-05    0.00011782118330232018     7.567076152303626e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5405.83467772338     All      -0.00011184587450875381    0.0004706367140791677     -0.0017709500372278743     0.00011070437572889338    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4411.719639291858    All      -0.00014118440765061485    6.282013812144863e-05     -6.608141648516379e-06     6.615610109648754e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4385.816773751232    All      -0.0005137430296386665     0.0003122044693450048     -0.0004353702762831331     0.0002496096974374209     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5372.475507367399    All      2.885459819904537e-05      2.115295460787036e-05     5.0364729790474635e-05     -2.611321204820805e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6413.544440645529    All      -0.0002949062377742612     0.00013607881760324025    -0.0007929888741641066     0.00010499856013583676    
MWEBV         All|All|All                       All                  All      -0.8659210659841468        -4.114698063666999        -0.001531305314778038      -1.0583018848569958       
Redshift      All|All|All                       All                  All      4.919981149618604          -3.9670121258240876       1.364245961375083          -2.8339060517049854       
