#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4976.618408945284    All      1.0787188801197694         0.5050253455245013        1.7427328679563745        -0.10910069436001457       
Zeropoint     AB|SDSS|SDSS_i            6035.019645157569    All      1.0665978533056513         0.034344915045636526      -0.8837782176849232       -0.3756777049129802        
Zeropoint     AB|SDSS|SDSS_g            3808.536301112563    All      -1.2201654655916907        0.45788441126912716       -0.876228173681034        0.5074940120737838         
Zeropoint     AB|SDSS|SDSS_z            7175.135286986008    All      0.07293618946566832        0.001281843879041844      0.020725388976371075      -0.022415298793766657      
Check         All|All|All               All                  All      0.9980874572993983         0.9985365157183068        0.0034518655667884167     0.0003003140070223301      
Lambda        AB|SDSS|SDSS_r            4976.618408945284    All      -0.00012462741549358923    -8.166403203342989e-05    -0.0008475506785439658    -2.3827706677642985e-05    
Lambda        AB|SDSS|SDSS_i            6035.019645157569    All      -0.00023669898031441607    -9.750402099218862e-06    8.094308199507336e-05     7.753673630245026e-05      
Lambda        AB|SDSS|SDSS_g            3808.536301112563    All      -0.0018281835576886736     0.000515296029966804      -0.0028307967249315354    0.0006370229434331783      
Lambda        AB|SDSS|SDSS_z            7175.135286986008    All      -3.0031616144555726e-05    -1.993151473347405e-07    -7.294499792654297e-06    9.391841865025195e-06      
MWEBV         All|All|All               All                  All      -0.546802284463793         -3.0668037532560533       0.1287148841157759        -0.8151034298594133        
Redshift      All|All|All               All                  All      5.006747005431304          0.5595448493057376        4.286705560975921         -1.257304069795396         
