#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4976.618408945284    All      1.0111493979030826         0.4811092310339049        1.9168942547886592        -0.08710933353847927      
Zeropoint     AB|SDSS|SDSS_i            6035.019645157569    All      1.1900059678161838         0.008832036047046188      -1.1688589470245203       -0.4369080154760577       
Zeropoint     AB|SDSS|SDSS_g            3808.536301112563    All      -1.2993981056921429        0.505725647998645         -0.821487284162703        0.5513289888470676        
Zeropoint     AB|SDSS|SDSS_z            7175.135286986008    All      0.09605412864738701        0.0034384643994300745     0.07864414182774393       -0.026658441960115964     
Check         All|All|All               All                  All      0.9978113886745108         0.9991053794790261        0.005192165429179774      0.0006531978724146348     
Lambda        AB|SDSS|SDSS_r            4976.618408945284    All      -1.5451825400362247e-05    -8.151812946487213e-05    -0.0009727328240084709    -6.492856708588613e-05    
Lambda        AB|SDSS|SDSS_i            6035.019645157569    All      -0.0003259022491865488     -1.647289122369348e-05    -0.0001745534546929607    9.30018028240781e-05      
Lambda        AB|SDSS|SDSS_g            3808.536301112563    All      -0.0020595223320525823     0.0005287609270825564     -0.003552446098498474     0.0006845596559090709     
Lambda        AB|SDSS|SDSS_z            7175.135286986008    All      -2.4706594566391882e-05    3.886058793037095e-06     4.94417141421781e-05      1.1519924494106638e-05    
MWEBV         All|All|All               All                  All      -0.5336615775297608        -3.0712931533876997       0.1341279742081425        -0.8206045743946004       
Redshift      All|All|All               All                  All      5.310955926417128          0.5003710246578308        6.291176934641484         -1.286219433782871        
