#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|MOSAICII|MOSAICII_I 5613.167994068973 All 6.914634976659256 -0.6924959323470112 4.9176530373716645 -2.2584405351421335
Zeropoint Linear_AB11_off|MOSAICII|MOSAICII_R 4687.4015527202955 All -10.81291106212095 4.647245457066635 -9.932336135058758 4.592647058203432
Check All|All|All All All -3.898276085461694 3.954749524719624 -5.014683097687094 2.3342065230612983
