#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5613.167994068973     All      3.3827804616298724         -0.2781273975070775        0.44928414011130324       -1.172428642326287        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4687.4015527202955    All      -2.385710482822674         1.280707618807142          -0.4491525453505939       1.1742293820575846        
Check         All|All|All                            All                   All      0.997069978807198          1.0025802213000645         0.0001315947607093415     0.0018007397312975737     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5613.167994068973     All      -0.0005948456825246547     6.524125901672966e-05      0.00022533476226527046    0.00022506768859013892    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4687.4015527202955    All      -0.00022170396121024615    -0.00014276420848795162    -0.002127534440865901     -6.922881618121626e-05    
MWEBV         All|All|All                            All                   All      -0.2593571184938708        -2.5987882961498343        -0.018763448572138606     -0.7628670260945755       
Redshift      All|All|All                            All                   All      4.573102675879321          1.3770763659488594         1.8196659999931224        -0.9598475791307506       
