#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2 6019.729564792693 All 1.5320944874786313 0.059765510616612616 4.922617504138268 -0.2599121755032821
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2 4287.91932515974 All 0.10652854469973483 0.8388473581758475 9.031215864942371 0.6415620153007224
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2 7376.017210635355 All 1.6274860416582237 0.23763772759074797 12.234930294530368 0.0932694254994087
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2 5245.82055064935 All -1.222541736712821 0.01795924335353405 -12.509520780312604 -0.15417047779689633
Check All|All|All All All 2.0435673371237684 1.1542098397367422 13.679242883298402 0.3207487874999527
