#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2 6019.729564792693 All 3.244548743988139 0.4644341551813165 15.803550631929259 -0.20033490300733348
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2 4287.91932515974 All 0.09768249736233114 0.8219885222550207 9.000836608378776 0.6375962997526325
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2 7376.017210635355 All 1.3471456326389353 0.3113747286578086 11.912264757942992 0.19420500581663305
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2 5245.82055064935 All -0.9293995347576685 0.05509338395162011 -10.603423923378154 -0.1525003774571722
Check All|All|All All All 3.759977339231737 1.652890790045766 26.113228074872872 0.4789660251047599
