#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4633.05786397199     All      1.0749513144475378        0.28780903009177905       -0.15668895138223607       -0.26339044648049675       
Zeropoint     AB|MEGACAMPSF|r           3285.164718549533    All      -1.4425247364544145       -0.09433190127872138      -0.09309983852798853       0.43499614244213636        
Zeropoint     AB|MEGACAMPSF|i           4020.884544471632    All      1.3635617639843391        0.8049142608683724        0.24980480334523092        -0.17082222966047889       
Check         All|All|All               All                  All      0.9959883419774624        0.99839138968143          1.601343500631791e-05      0.0007834663011607179      
Lambda        AB|MEGACAMPSF|z           4633.05786397199     All      0.00012492393605383726    2.9480597514493188e-05    -0.00021589455648144177    -4.072341784276925e-05     
Lambda        AB|MEGACAMPSF|r           3285.164718549533    All      -0.00335562990725319      -0.000253702532055045     -0.0008244532461887632     0.0009736082346808745      
Lambda        AB|MEGACAMPSF|i           4020.884544471632    All      0.0010781299134724183     0.0006194647456291379     0.0005822697885102616      -0.00012341830840956829    
MWEBV         All|All|All               All                  All      -0.5120684966996885       -1.6627099151136804       -0.012036855521687248      -0.3753389145343528        
Redshift      All|All|All               All                  All      2.950703326824154         -0.24184125081170293      -0.9968833245622959        -1.084403124788564         
