#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7808.23050448173      All      0.36838545744677964        -0.10259446961047303      0.1618801265129389        -0.14618969046416289       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5322.645609043586     All      0.49932170935315967        0.6567377708535105        -0.20841115364341223      0.04197515747596201        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4318.3245113052335    All      -1.1400121766249298        0.6931682974990139        -0.06328410266641288      0.5943031114197541         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6314.8479727064705    All      1.2695720761084406         -0.24994040872492462      0.10489247901210856       -0.4902743372015331        
Check         All|All|All                       All                   All      0.9972670662834503         0.9973711900171267        -0.004922650784777646     -0.00018575876997983798    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7808.23050448173      All      -5.554927646159469e-05     -8.338333083624435e-07    2.1600986308657593e-05    1.8786572728833336e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5322.645609043586     All      5.56627301945295e-05       0.00017965841734802985    -0.0016366171804258274    -3.2645233408742024e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4318.3245113052335    All      -0.0006567914944936304     0.00027899120837795224    -0.0008454644432188016    0.00026708601763863413     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6314.8479727064705    All      -0.00036399827428885533    0.00015164152308556577    -0.0007415088556775278    0.00013487071144840384     
MWEBV         All|All|All                       All                   All      -0.8358545939017974        -4.025292259382773        0.025798234460854275      -1.0377535203126511        
Redshift      All|All|All                       All                   All      4.905689566256215          -1.8352063074277503       5.3516086208284435        -1.9569138412477096        
