#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7808.23050448173      All      0.35543635089221487        -0.08225773167040984     0.16712998539856194       -0.13511311875016996      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5322.645609043586     All      0.5069020548208388         0.6265434949977333       -0.32110292399649687      0.024641804426506327      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4318.3245113052335    All      -1.1357362265280626        0.6920818967072861       -0.036705522790980716     0.5937424972680732        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6314.8479727064705    All      1.2692018427180378         -0.23318452456413397     0.1667054682407687        -0.4819373674700933       
Check         All|All|All                       All                   All      0.9958040219030287         1.0031831354704757       -0.023972993148146937     0.0013338154743162134     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7808.23050448173      All      -4.517285479279462e-05     -4.57613441759912e-07    3.329131505571019e-05     1.6050863685233552e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5322.645609043586     All      -2.9044017241745956e-05    0.0001475307238759978    -0.002043434843107802     -3.367290957264664e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4318.3245113052335    All      -0.0006123650067849332     0.0002271485162028417    -0.0008250112123360897    0.00023664071234453767    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6314.8479727064705    All      -0.00040934719382796107    0.0001236455068616146    -0.0009644976950443838    0.0001305721552014642     
MWEBV         All|All|All                       All                   All      -0.8412372233322065        -4.022618000587741       0.036902943324257365      -1.0346335745993849       
Redshift      All|All|All                       All                   All      4.850439461969569          -1.4497504769758862      6.036554027268726         -1.7827954518598175       
