#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1 7571.827438687246 All -0.6405729542999379 -0.4130664363476231 -2.554228593420652 -0.03987713333756174
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1 5385.0645890881 All 38858.00884389665 11.847154451960177 283549.8716218304 0.05561001501022893
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1 6219.20938564121 All 1.437659851834285 0.05281116360966642 2.1028121353168157 -0.3572519301909494
Zeropoint Linear_AB11_off|CalanTololo|Bessell12_R 6490.120964984454 All -1.9100506329372477 -0.7573787137786723 -4.080791135800597 0.1933561998546885
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1 4349.892901238536 All -3.997137488126551 0.16272976052232746 -5.162716069405425 1.1246173117720963
Check All|All|All All All 38852.89874267311 10.892250225965874 283540.17669816705 0.9764544631085026
