#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5286.347306679       All      -1.9695163818426842        1.978652824207039          -0.33989915365808826      1.270880463191715         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6330.406126644453    All      2.967336797504603          -0.9743469294498652        0.34469573046891183       -1.2685538800912795       
Check         All|All|All                            All                  All      0.9978204156619193         1.0043058947571737         0.004796576810823572      0.002326583100435542      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5286.347306679       All      -0.00017243521392479845    -4.2991893569024386e-05    -0.001053089526504973     -4.830600904041444e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6330.406126644453    All      -0.0007528162639292465     9.205023520702371e-05      -0.0010239960491697877    0.00022950457342019848    
MWEBV         All|All|All                            All                  All      -0.5399816990583441        -3.032250935070735         -0.0064466875677206       -0.8121017694492407       
Redshift      All|All|All                            All                  All      3.1376792757885363         0.944968290361814          -0.8922086182304905       -0.7540532788678501       
