#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                8436.352609042156    All      0.34097384557927785        -0.07618765580925668      0.14112960037492236        -0.12958525932806847      
Zeropoint     AB|PS|PS_r                6060.670449874799    All      1.339759437000573          -0.04006024793703489      -0.4917783033933547        -0.4713984731278493       
Zeropoint     AB|PS|PS_g                4772.436559925984    All      -1.189379985819821         1.2469572030120446        0.07880460562192945        0.7971118631277102        
Zeropoint     AB|PS|PS_i                7340.784514811011    All      0.5099122726561629         -0.1319436810564234       0.2721506152071108         -0.19692876854371733      
Check         All|All|All               All                  All      1.0012655694161923         0.9987656182093296        0.0003065178106079758      -0.0008006378719248586    
Lambda        AB|PS|PS_z                8436.352609042156    All      0.00034612992967520133     -8.043954891515649e-05    0.00011074143729437907     -0.0001340058311664586    
Lambda        AB|PS|PS_r                6060.670449874799    All      -0.0002725997991472501     3.870413609074267e-05     -0.0014632141736854987     3.6105405030319045e-05    
Lambda        AB|PS|PS_g                4772.436559925984    All      -0.0005072461308178364     0.0001625929379603686     -0.00025130313569412497    0.00020697411699938434    
Lambda        AB|PS|PS_i                7340.784514811011    All      -0.00010197238952177549    -7.42373062641724e-07     -0.0003281607638007541     1.832963902880471e-05     
MWEBV         All|All|All               All                  All      -0.7087689043853889        -4.037911921688586        0.08374051773990429        -1.080674451587241        
Redshift      All|All|All               All                  All      7.25569512146122           0.25397147304699885       9.3608536982225            -1.8629598344487748       
