#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8436.352609042156    All      0.31013589621153204        -0.06860687828682543      0.17938548321969616        -0.11536383169291828       
Zeropoint     AB|PS|PS_r                6060.670449874799    All      1.4043566763288655         -0.049863196209276595     -0.6731104539730692        -0.5037250829747403        
Zeropoint     AB|PS|PS_g                4772.436559925984    All      -1.218638659712314         1.2330543000093286        0.20356232434168842        0.8076811068913531         
Zeropoint     AB|PS|PS_i                7340.784514811011    All      0.504371788778761          -0.11586614436476239      0.289110607419385          -0.1891302214746149        
Check         All|All|All               All                  All      1.0002257016068448         0.9987180811484642        -0.0010520389922996642     -0.000538029250920391      
Lambda        AB|PS|PS_z                8436.352609042156    All      0.00026417204643225677     -6.307999776158635e-05    0.00012136304516455201     -0.00010118088176100962    
Lambda        AB|PS|PS_r                6060.670449874799    All      -0.00017342239685986616    3.7692766885111476e-05    -0.00045605854506206847    4.8415356049340154e-05     
Lambda        AB|PS|PS_g                4772.436559925984    All      -0.0004392100178913939     4.039089281352367e-05     -0.00029280017856283955    0.00014315546783120803     
Lambda        AB|PS|PS_i                7340.784514811011    All      -6.0702564301428166e-05    4.112541839945277e-06     -0.00023804567526037302    1.0489527241271122e-05     
MWEBV         All|All|All               All                  All      -0.7260840895380438        -4.035433930580012        0.10286118295672608        -1.073373895432214         
Redshift      All|All|All               All                  All      7.043489858543101          0.9123762574592575        5.521679512569344          -1.7506982110299163        
