#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4162.998504009713    All      -2.8887332772350502        0.659108433555744        -0.42727068766776083       1.136581637322577         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4985.194824732506    All      3.8835413233668317         0.34295937731219084      0.4263773048224735         -1.1342567606820724       
Check         All|All|All                            All                  All      0.9948080461317812         1.0020678108679348       -0.0008933828452873382     0.002324876640504625      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4162.998504009713    All      -0.0010150857151986848     8.54395117342825e-05     -0.0020978964008057472     0.00026485779153829966    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4985.194824732506    All      -0.00016203875151431116    -3.56116531075621e-05    -0.00023043438302625628    3.0898237111450145e-05    
MWEBV         All|All|All                            All                  All      -0.03414339259759647       -2.161996801475574       0.01442999422506335        -0.6924679152016756       
Redshift      All|All|All                            All                  All      8.895037936264892          0.9304181822084701       2.4040186576685882         -2.4870583706696503       
