#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3718.4670961101515    All      -1.2726519154955076       0.4079957748199803        -0.40183277373451176      0.5295102932618436         
Zeropoint     AB|SDSS|SDSS_i            5892.295674939802     All      1.3039165944199473        0.22941842891590625       1.3709213669320874        -0.2888214782522297        
Zeropoint     AB|SDSS|SDSS_z            7005.4483836749405    All      0.15731434052872378       0.035922634650198404      0.49347447332843686       -0.017519772974765313      
Zeropoint     AB|SDSS|SDSS_r            4858.924883597205     All      0.8138670692364912        0.3275598952582115        -1.4544046402889421       -0.2233096448527247        
Check         All|All|All               All                   All      1.0024460886896547        1.0008967336442964        0.008158426237070415      -0.00014060281787608986    
Lambda        AB|SDSS|SDSS_g            3718.4670961101515    All      -0.0017974703643868803    0.0005137448700699285     -0.001616081956899942     0.0006807205232447937      
Lambda        AB|SDSS|SDSS_i            5892.295674939802     All      -0.000186092588986273     -3.992090867901277e-05    -0.0004897521223290159    2.57575373121124e-05       
Lambda        AB|SDSS|SDSS_z            7005.4483836749405    All      1.7257975814401865e-05    9.942495201777418e-07     0.00038674367426918546    1.1960963218454168e-05     
Lambda        AB|SDSS|SDSS_r            4858.924883597205     All      -7.797656812065607e-05    -5.337955566885838e-05    0.0002088953600930138     1.733409667248879e-05      
MWEBV         All|All|All               All                   All      -0.5368370597361007       -2.9445245657891306       0.2656609175511804        -0.7724078046737844        
Redshift      All|All|All               All                   All      5.673276690274854         -0.05150391795769593      12.425464291202992        -1.3102579805660388        
