#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3718.4670961101515    All      -1.1162374891197449       0.3840907837194152         1.1462637288203834         0.5398587634161409        
Zeropoint     AB|SDSS|SDSS_i            5892.295674939802     All      1.03728111645021          0.09826714724940899        1.5140785329193738         -0.23830137139767         
Zeropoint     AB|SDSS|SDSS_z            7005.4483836749405    All      0.1267824838782982        0.0006005119290719563      0.4533944382002698         -0.02086870811589228      
Zeropoint     AB|SDSS|SDSS_r            4858.924883597205     All      0.9637179200487193        0.5082508617542558         -2.933970653821915         -0.2792902403479042       
Check         All|All|All               All                   All      1.0115440312574826        0.991209304652152          0.17976604611811187        0.0013984435546744445     
Lambda        AB|SDSS|SDSS_g            3718.4670961101515    All      -0.0014723291669678704    0.0004212818364477851      0.00012106834294354531     0.0006222141258628408     
Lambda        AB|SDSS|SDSS_i            5892.295674939802     All      -7.772812351683493e-05    -1.3295485449648095e-05    -0.00011711491180247653    1.5761529364901483e-05    
Lambda        AB|SDSS|SDSS_z            7005.4483836749405    All      -3.708701409646216e-05    -7.808507623807138e-07     -0.0001292942637483176     6.056302671192814e-06     
Lambda        AB|SDSS|SDSS_r            4858.924883597205     All      -0.0002285033118955114    -0.00010882008698425762    0.00012869277715555534     4.4727731394646535e-05    
MWEBV         All|All|All               All                   All      -0.5850915588013827       -2.948511245461738         0.21140255249248135        -0.7604096211625034       
Redshift      All|All|All               All                   All      3.118976276405269         -0.3162588964428892        -4.3344286039160025        -1.3123947529591697       
