#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                            4830.919543320517    All      -0.44909615289419624       0.6963373916102356         1.001063833780477          0.41777827027112613        
Zeropoint     AB|PS|PS_z                            8539.734406442663    All      0.3399759276749634         -0.08413730861693836       -0.0028652577013625435     -0.13827549726286267       
Zeropoint     AB|PS|PS_r                            6134.939868614911    All      0.9677862779042024         -0.07710905833810955       0.0847314333652776         -0.3365756123359182        
Zeropoint     AB|PS|PS_i                            7430.740865930992    All      0.4642690672405647         -0.04447961500906317       0.5777975718107793         -0.13993173124154762       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.360344417256    All      -0.5618501951119659        0.3629058449314826         -0.2297827581461072        0.29096931667017323        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.751246994445    All      0.23638167311047167        0.14313473652194375        -1.4350095828249336        -0.09441148190082863       
Check         All|All|All                           All                  All      0.9974665979240401         0.9966519910995508         -0.004064759715869615      -0.00044673579985779477    
Lambda        AB|PS|PS_g                            4830.919543320517    All      -0.00020421833284262877    -0.0001107342525053865     -0.0020075784703768203     -5.91381661577792e-05      
Lambda        AB|PS|PS_z                            8539.734406442663    All      0.00036774403781644484     -9.036590721004371e-05     -1.994629233968026e-05     -0.00015011159188176701    
Lambda        AB|PS|PS_r                            6134.939868614911    All      -0.00018266436472860756    -1.1230531308318323e-05    -0.00030875618820420307    4.2063268936909906e-05     
Lambda        AB|PS|PS_i                            7430.740865930992    All      -4.694472359817688e-05     -4.6935097848539786e-06    -0.00016329413634835708    6.475543040259927e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.360344417256    All      -8.869023628449007e-05     2.2914339441761314e-05     -0.00021964857075537522    2.6551375092105857e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.751246994445    All      1.4646024182717049e-05     -3.962247277275585e-06     -0.00022940348757662126    -1.62985502469022e-05      
MWEBV         All|All|All                           All                  All      -0.7363451610113647        -4.076975254380244         0.06903884649143456        -1.0850722382408968        
Redshift      All|All|All                           All                  All      4.109477517021803          1.3758222889012295         10.029463665694518         -0.4428725426450896        
