#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                            4830.919543320517    All      -0.4436567774600866        0.7112861083660604         1.2214392535242702         0.43071011842311796        
Zeropoint     AB|PS|PS_z                            8539.734406442663    All      0.2908885588928011         -0.07969321962839615       -0.10081852463552643       -0.12520974475448352       
Zeropoint     AB|PS|PS_r                            6134.939868614911    All      0.9409468073744538         -0.057543595639852896      0.19990692312175096        -0.3163202457806602        
Zeropoint     AB|PS|PS_i                            7430.740865930992    All      0.46300892323071996        -0.041273498222516025      0.5521631297996876         -0.13962087057676834       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.360344417256    All      -0.5546274409005992        0.3411419057872678         -0.3575526335984236        0.27582561429475017        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.751246994445    All      0.29413499657397174        0.12927719703688112        -1.4680566829640362        -0.11921223618995558       
Check         All|All|All                           All                  All      0.9906950677112607         1.0031948976994443         0.0470814652477225         0.0061726354160005215      
Lambda        AB|PS|PS_g                            4830.919543320517    All      -0.00020275327950614492    -8.979122932513487e-05     -0.001672424790590625      -3.7837181149806375e-05    
Lambda        AB|PS|PS_z                            8539.734406442663    All      0.0002804221999127708      -7.880793448846994e-05     -0.00012249429459068606    -0.00012247943086650317    
Lambda        AB|PS|PS_r                            6134.939868614911    All      -0.0001447762878317118     -8.032831696614988e-06     -0.00019499044979835918    3.584031417352496e-05      
Lambda        AB|PS|PS_i                            7430.740865930992    All      -1.548610601259746e-05     1.4594076494824904e-06     -1.985734424392151e-05     4.633569218456907e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.360344417256    All      -7.822727570472823e-05     -1.3016253548157508e-05    -0.0004416376474788216     1.5331154566684567e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.751246994445    All      -4.127765543125934e-06     1.839180009516483e-06      -0.00020313491948751678    -7.121348018614784e-06     
MWEBV         All|All|All                           All                  All      -0.7502119046133751        -4.072002839101074         0.05439467937189413        -1.0795892063236971        
Redshift      All|All|All                           All                  All      4.433164693823962          1.3508457734330293         9.087624413052309          -0.5984737380465038        
