#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3510.59988590936     All      -1.4989507161293658       0.055905203632278244       -0.16535456819828376      0.49908871137409744       
Zeropoint     AB|MEGACAMPSF|i           4293.14201215449     All      1.1911274744469196        0.6768442849219625         -0.48143787454590914      -0.18900331541946147      
Zeropoint     AB|MEGACAMPSF|z           4944.483873064346    All      1.3095302564597493        0.2657891557442227         0.6435263435327965        -0.3112631894630402       
Check         All|All|All               All                  All      1.001707014777303         0.9985386442984634         -0.0032660992113964227    -0.0011777935084042457    
Lambda        AB|MEGACAMPSF|r           3510.59988590936     All      -0.0018195943296205287    1.671116418662675e-05      -0.0014375437478494264    0.0005339941369224053     
Lambda        AB|MEGACAMPSF|i           4293.14201215449     All      -0.0007093653392627812    -0.00023183998972469954    -0.0022978229031054803    5.3004433815189164e-05    
Lambda        AB|MEGACAMPSF|z           4944.483873064346    All      1.6570760107717083e-05    -1.0004759831069348e-05    5.985849199599263e-05     -5.985311575027831e-06    
MWEBV         All|All|All               All                  All      -0.29914638591930576      -1.8041116274304159        0.02971118869297129       -0.48889081715315086      
Redshift      All|All|All               All                  All      5.940046743851897         1.1525330881287488         -3.127100440070807        -1.6989988325774752       
