#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7540.340579286678     All      0.21193423389328697        -0.03154271116008189       0.0695756503849232         -0.07620360943017407       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6368.396004009327     All      0.2719172861822361         -0.04209446018039742       -0.09080831164705039       -0.10633631435123109       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5486.459651568194     All      0.43483038842250926        0.0688424135229404         0.15956891278299246        -0.11209349636752408       
Zeropoint     AB|CNIa02|SDSS_g                      4724.8163167524035    All      -0.26696883251484804       0.2608991528651572         0.04476347166755268        0.1739415573284886         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4376.822249798245     All      -0.23530066574383574       0.1235597748998174         -0.0939613746342216        0.11269958707451622        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6213.833458890696     All      0.5943320794157583         -0.04762756580500849       0.18880157877583237        -0.20068202896693088       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7890.5873550968945    All      0.0882790851681375         -0.018280240947099458      -0.00621525577124693       -0.03498723653286573       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5387.284285629617     All      0.17281518740832238        0.03551499494189869        -0.1730387319194504        -0.05244511359589199       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4713.807543886357     All      -0.35288591022166205       0.28801299657308377        -0.08997319283858829       0.2047467685263385         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5475.634903308108     All      0.31913558527399366        0.05842485374865092        0.111433297309671          -0.07994930612179735       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4454.482173030466     All      -0.16562363018637077       0.09341102651192479        -0.0817613892195368        0.08072747438932215        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4378.014199439117     All      -0.4606087146295049        0.24732065592867336        -0.16273843223841844       0.22333361737508634        
Zeropoint     AB|CNIa02|SDSS_r                      6173.922473567124     All      0.2713719483568047         -0.024318701045444868      0.06716485616511392        -0.09331891339010717       
Zeropoint     AB|CNIa02|SDSS_i                      7486.960090949395     All      0.09813358452269083        -0.014520372942961046      0.03307254802216164        -0.03521922423016799       
Check         All|All|All                           All                   All      0.9813616253475184         0.9976018169111533         -0.024116373160265603      0.0042137617070614475      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7540.340579286678     All      -3.2375111513829645e-05    3.581903830730967e-06      -2.7061482964506164e-05    1.050475315258087e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6368.396004009327     All      -5.092952137872763e-05     2.595457671444673e-06      -1.931823177783158e-05     1.6572762637332046e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5486.459651568194     All      -2.2293045761064966e-05    -4.945153312935876e-06     -0.00014313160994551232    -7.365270730964499e-07     
Lambda        AB|CNIa02|SDSS_g                      4724.8163167524035    All      -4.9636316386766785e-05    -8.824459464974056e-05     -0.0005911436315853033     -3.8956011658032684e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4376.822249798245     All      -8.559663105777996e-05     2.2843339769686773e-05     -0.00011186609612448748    3.0330395979938746e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6213.833458890696     All      -0.00012074089827882242    8.521277479735908e-06      -6.463623768293607e-05     3.9220524819542704e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7890.5873550968945    All      -6.8307422870921295e-06    2.3367649605269275e-06     8.142421410693676e-06      3.349517583349867e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5387.284285629617     All      8.148429582395528e-05      4.674040537655222e-06      -0.0002724921609067835     -3.7179700759130096e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4713.807543886357     All      -0.0001030915728879564     -7.860813371294575e-05     -0.0005383768353619446     -1.6050223866311316e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5475.634903308108     All      1.5967559091715637e-07     -3.2289978386957972e-06    -0.00010443093218578431    -5.764075289597852e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4454.482173030466     All      -8.924675406104618e-05     3.8288967675032365e-05     -0.00010562709429326915    3.6828928279446475e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4378.014199439117     All      -0.00028175833842462996    1.5487663812178327e-05     -0.0006374491701230185     6.837637326708624e-05      
Lambda        AB|CNIa02|SDSS_r                      6173.922473567124     All      1.5183796442530765e-06     -4.046020774772659e-06     -1.637055548557773e-05     -2.5430509838924708e-06    
Lambda        AB|CNIa02|SDSS_i                      7486.960090949395     All      -1.2753078101797703e-05    1.5828260169299764e-06     -6.541565497019878e-06     4.377755584897706e-06      
MWEBV         All|All|All                           All                   All      -0.8961720238772108        -4.107534236887567         0.017629980871936013       -1.045259578381401         
Redshift      All|All|All                           All                   All      6.011001822379946          1.2130138636860188         4.501657143421101          -1.3619742443144094        
