#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7540.340579286678     All      0.1671981737927897         -0.027835833963196777      0.04662542310010272        -0.06144831426425812       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6368.396004009327     All      0.33410725738011077        -0.05532993252730378       -0.11548834561119388       -0.1320062193016769        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5486.459651568194     All      0.3635466020008167         0.06881215930030216        0.10119965427969713        -0.09148862868540586       
Zeropoint     AB|CNIa02|SDSS_g                      4724.8163167524035    All      -0.2718304693604077        0.27020115177061044        0.03698406958525867        0.17820796047693765        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4376.822249798245     All      -0.22988258973840753       0.1330115646638541         -0.06589179568122884       0.11526611674069488        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6213.833458890696     All      0.4962982932428007         -0.046380825759495536      0.10567002192570388        -0.17205287491806998       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7890.5873550968945    All      0.09949436974302471        -0.021846413775672424      -0.006827725770879396      -0.0398293752277875        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5387.284285629617     All      0.1891527074268486         0.04657694854874883        -0.1070297688557196        -0.05121786228382194       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4713.807543886357     All      -0.31119302287027556       0.2752156464242539         -0.026766998903344563      0.18981810763673332        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5475.634903308108     All      0.289089466985379          0.06189382841597091        0.08399997163303259        -0.07025656106048295       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4454.482173030466     All      -0.17260966897033983       0.10927921700267795        -0.051975455450150754      0.08950105816819125        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4378.014199439117     All      -0.3914251324071723        0.23353200260682883        -0.08710283672664659       0.19968209979884383        
Zeropoint     AB|CNIa02|SDSS_r                      6173.922473567124     All      0.32187523990024947        -0.031934998869842524      0.05819457158642807        -0.11265067832662912       
Zeropoint     AB|CNIa02|SDSS_i                      7486.960090949395     All      0.11285155822825849        -0.018979878945257767      0.02896943258548462        -0.041649063488372925      
Check         All|All|All                           All                   All      0.9966727853536753         0.9962146348924783         0.0005602176965440429      -0.00012423473510440874    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7540.340579286678     All      -4.38698169451177e-05      2.11158359640767e-06       -5.11501329275408e-05      1.2695059391026801e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6368.396004009327     All      -4.6437980307220703e-05    -4.685020888834352e-07     -5.397697185501074e-05     1.256502706000026e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5486.459651568194     All      2.1880747153877806e-05     -1.1020618725750579e-05    -0.0001272279756460319     -1.6394657505907087e-05    
Lambda        AB|CNIa02|SDSS_g                      4724.8163167524035    All      -0.0001281056682815946     -5.015479757521331e-05     -0.0006475258495264574     -3.5049415891672213e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4376.822249798245     All      -7.730086092638462e-05     3.142230802033582e-05      -8.350336803566677e-05     3.168834121362674e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6213.833458890696     All      -0.00010797944203901674    -3.1926703100804144e-06    -0.00013822755909120616    2.7964037828482438e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7890.5873550968945    All      -4.952677981221765e-06     2.3921430871840163e-06     1.0385913609693648e-05     2.8559254830403296e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5387.284285629617     All      0.00010954900950338665     1.4813813640270984e-05     -0.0002374645302961761     -4.145532133996475e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4713.807543886357     All      -7.380460348506083e-05     -6.089633963671108e-05     -0.0005817971518051435     -2.1758288582721475e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5475.634903308108     All      2.9337922260304567e-05     -3.18127773402112e-06      -9.893955287458724e-05     -1.500779111991666e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4454.482173030466     All      -0.0001063347252239048     5.669314385157681e-05      -8.379325416142272e-05     4.936423233073834e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4378.014199439117     All      -0.00019912502559424135    3.449493361043949e-05      -0.0004084715755862528     5.7869496205004634e-05     
Lambda        AB|CNIa02|SDSS_r                      6173.922473567124     All      -1.0402915789802583e-05    -2.373047345509258e-06     -3.0010343950745746e-05    1.2763685091339275e-06     
Lambda        AB|CNIa02|SDSS_i                      7486.960090949395     All      -1.8077740001563353e-05    1.9821559886654217e-06     -1.2479007904000873e-05    5.97728726624777e-06       
MWEBV         All|All|All                           All                   All      -0.8941780231414396        -4.109601318594525         0.011155366582586345       -1.0468713388375475        
Redshift      All|All|All                           All                   All      4.675665625522099          0.7489036103502489         2.2083134182060116         -1.1805286895366864        
