#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5009.050706785368     All      0.8946476477503296         0.45037387779043314       0.3538728453269746         -0.12892286324107521      
Zeropoint     AB|SDSS|SDSS_z            7221.895176040823     All      0.11038458367295767        0.006679921116337084      0.09017401569720862        -0.029755968210457007     
Zeropoint     AB|SDSS|SDSS_i            6074.349474877022     All      1.1465460553091014         0.07908907431630752       0.12585260901691875        -0.34208963308061113      
Zeropoint     AB|SDSS|SDSS_g            3833.3562839809365    All      -1.1531462433479664        0.4628826651577711        -0.5667779491547287        0.5011010845184168        
Check         All|All|All               All                   All      0.9984320433844223         0.9990255383808488        0.003121520886373297       0.0003326199862735413     
Lambda        AB|SDSS|SDSS_r            5009.050706785368     All      -7.016631190791972e-05     -7.543595802557178e-05    -0.0011113219639135145     -5.130969223902396e-05    
Lambda        AB|SDSS|SDSS_z            7221.895176040823     All      -2.4034083076453534e-05    -3.958482270677507e-06    -5.0275314113301236e-05    4.295727287379074e-06     
Lambda        AB|SDSS|SDSS_i            6074.349474877022     All      -0.00015674663618500475    -4.369467719069744e-05    -0.00032948352625085815    2.21214058299478e-05      
Lambda        AB|SDSS|SDSS_g            3833.3562839809365    All      -0.001504113729742985      0.0002911758342645532     -0.0023315880179473943     0.00048073680962499845    
MWEBV         All|All|All               All                   All      -0.5482850855610635        -3.0846518827175373       0.15366879521214738        -0.819320577267886        
Redshift      All|All|All               All                   All      5.714841228686151          1.4008644448070484        7.97496856922193           -1.0493179445914325       
