#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4605.487795020618    All      -0.9774725553608101       0.996109016591884          0.6339216447364682        0.6711494583979122         
Zeropoint     AB|PS|PS_z                8141.233201858756    All      0.31829623159248743       -0.08807911281429881       0.3460636193072908        -0.11692658910804152       
Zeropoint     AB|PS|PS_i                7083.990130475992    All      0.9201497180480671        -0.1459639311805816        1.2446257089794632        -0.29172636061839163       
Zeropoint     AB|PS|PS_r                5848.656851914947    All      0.7311466110038767        0.2347652176252879         -2.3017003050869844       -0.2644020635750833        
Check         All|All|All               All                  All      0.9921200052836212        0.9968311902222915         -0.07708933206376223      -0.0019055549036042785     
Lambda        AB|PS|PS_g                4605.487795020618    All      -9.879667862710238e-05    -3.688995229539733e-05     -0.0005912945068119963    -6.221700684540206e-06     
Lambda        AB|PS|PS_z                8141.233201858756    All      6.346675024643014e-05     -1.0877478641533354e-05    0.0002662774997764015     -1.2333619354591689e-05    
Lambda        AB|PS|PS_i                7083.990130475992    All      -0.0006751887058986955    8.999447387085576e-05      -0.0013450245676998724    0.00018922306644777483     
Lambda        AB|PS|PS_r                5848.656851914947    All      -0.0001539809877164516    -1.3406233977288731e-05    -0.0003846960530906431    2.862260406050318e-05      
MWEBV         All|All|All               All                  All      -0.6425096547931055       -3.865527962439508         0.1960321573891921        -1.0410950821120792        
Redshift      All|All|All               All                  All      6.5300550831918915        -0.25871747809311785       8.652100350713043         -1.8252230662010822        
