#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.815079404531    All      0.9324484687723872         0.18986955721524978        -0.2580928869228991        -0.25339988178031747      
Zeropoint     AB|CNIa02|SDSS_g                      4671.473221780547    All      -0.43744293689463354       0.5040311333718073         0.01877780086332349        0.30750704527189454       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4327.408001858465    All      -0.9187544319670333        0.4646489635400819         -0.022312500819985762      0.4496242941025333        
Zeropoint     AB|CNIa02|SDSS_i                      7402.432440262536    All      0.5087169190371195         -0.09623150726811858       0.44262361784971155        -0.1772993454918005       
Zeropoint     AB|CNIa02|SDSS_r                      6104.218995002535    All      0.9152019958966134         -0.0656626923812631        -0.177111747476319         -0.3274035823068835       
Check         All|All|All                           All                  All      1.0001700148444532         0.9966554544777573         0.003884283493831159       -0.0009714702045736656    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.815079404531    All      0.00013423685918822437     8.02549484077118e-06       -0.0010900979952616107     -8.975726048804361e-05    
Lambda        AB|CNIa02|SDSS_g                      4671.473221780547    All      -8.919816097222422e-05     -6.825042357429153e-05     -0.00029880819024204663    -6.511069923526939e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4327.408001858465    All      -0.0005664306216900224     9.707778385208551e-05      -0.0015726687747608164     0.0001459455320520769     
Lambda        AB|CNIa02|SDSS_i                      7402.432440262536    All      -0.00010370589944817062    1.2809829245206441e-05     -0.00039091856274381365    2.0508106057809315e-05    
Lambda        AB|CNIa02|SDSS_r                      6104.218995002535    All      -6.337812038248155e-05     -5.6364638191821115e-06    -0.00027152895376870187    6.691267067422565e-06     
MWEBV         All|All|All                           All                  All      -0.8703909457059713        -4.053276881963175         0.08122706222854861        -1.033145872551105        
Redshift      All|All|All                           All                  All      4.691021760715338          -0.15724528706710927       6.203812387335643          -1.3023924269437994       
