#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.815079404531    All      0.9628718485486342        0.18937815543234038        -0.16225493199206742       -0.25919303543948113      
Zeropoint     AB|CNIa02|SDSS_g                      4671.473221780547    All      -0.43887816455950757      0.4859900670287409         0.143992987848085          0.30768575600111925       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4327.408001858465    All      -0.9270717032133862       0.47817254559445743        -0.02283665132388757       0.4567151881356583        
Zeropoint     AB|CNIa02|SDSS_i                      7402.432440262536    All      0.43304120451981626       -0.08191134038204595       0.21772718042112338        -0.15802082123262812      
Zeropoint     AB|CNIa02|SDSS_r                      6104.218995002535    All      0.9710496212113747        -0.07444691381666146       -0.17761555328061895       -0.34847878365715995      
Check         All|All|All                           All                  All      1.0010128065069315        0.9971825138568313         -0.000986968327365556      -0.001291696192491587     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.815079404531    All      0.00015245697268125139    7.396036171335803e-06      -0.0009437831230716265     -8.936782552792457e-05    
Lambda        AB|CNIa02|SDSS_g                      4671.473221780547    All      -9.094308894373043e-06    -6.701499783085762e-05     -0.00044854700066796144    -3.888326645863039e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4327.408001858465    All      -0.0006528203778675804    0.00014548957753764987     -0.0014310075927223994     0.00019617651960985718    
Lambda        AB|CNIa02|SDSS_i                      7402.432440262536    All      -7.514881206086264e-05    5.375888686413853e-06      -0.00024181525442260932    1.543844002976515e-05     
Lambda        AB|CNIa02|SDSS_r                      6104.218995002535    All      -1.699384767173569e-05    -2.5015873271610517e-06    -0.00019358479365200057    -3.918194262459103e-06    
MWEBV         All|All|All                           All                  All      -0.8695478978598961       -4.054856742080926         0.05849205104895283        -1.0349496525170434       
Redshift      All|All|All                           All                  All      4.434296225878844         -0.3374281847137617        5.81189698074327           -1.2949493564269636       
