#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4475.256854905829    All      0.6567030995862173        0.5264567854004198         0.49872443725422505        -0.02016972843060866       
Zeropoint     AB|SDSS|SDSS_z            6452.287625718559    All      0.13544305944483553       0.022316579461190145       0.08046173285984982        -0.033258378691155034      
Zeropoint     AB|SDSS|SDSS_i            5427.031131809589    All      1.1460399832150012        0.2613903468692058         -0.30445135988588246       -0.3017457565635705        
Zeropoint     AB|SDSS|SDSS_g            3424.851332397803    All      -0.9421241153528219       0.18848410862108977        -0.2676076202530401        0.3563341954394936         
Check         All|All|All               All                  All      0.9960620268932322        0.9986478203519056         0.0071271899751523815      0.0011603317541593605      
Lambda        AB|SDSS|SDSS_r            4475.256854905829    All      -0.0004634835158035171    -0.00022184373519673387    -0.0027704017373515097     -4.4920279286766664e-05    
Lambda        AB|SDSS|SDSS_z            6452.287625718559    All      -3.402736444969793e-05    -6.2511424565659044e-06    -3.232397082800345e-05     7.605158954298226e-06      
Lambda        AB|SDSS|SDSS_i            5427.031131809589    All      0.00017722128626000266    4.1630021355102405e-05     -3.1198626047286076e-05    -4.555878719002556e-05     
Lambda        AB|SDSS|SDSS_g            3424.851332397803    All      -0.001376683238982533     0.00021429486446929508     -0.0012374396122892856     0.0004630126633772625      
MWEBV         All|All|All               All                  All      -0.6841954904902425       -2.605208617299226         -0.03547579711207553       -0.6273202967470156        
Redshift      All|All|All               All                  All      4.101784177537027         0.9047919315317898         3.170928392365063          -0.8998615818407895        
