#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4475.256854905829    All      1.102279606380506         0.5616735025387953         0.45125061484339035       -0.15595595101243198      
Zeropoint     AB|SDSS|SDSS_z            6452.287625718559    All      0.049091271021628476      0.014459907605868239       0.09064476856223136       -0.007235514697959133     
Zeropoint     AB|SDSS|SDSS_i            5427.031131809589    All      0.9301550894004089        0.2988574872990313         0.2540961203604808        -0.1942952552482058       
Zeropoint     AB|SDSS|SDSS_g            3424.851332397803    All      -1.0821514349738282       0.12465847032601118        -0.7809285313389536       0.3582484353441051        
Check         All|All|All               All                  All      0.9993745318287153        0.999649367769706          0.015062972427148935      0.0007617143855082054     
Lambda        AB|SDSS|SDSS_r            4475.256854905829    All      -0.0009355093706816018    -0.0004040197106382752     -0.003580823128149837     1.3327977682996425e-05    
Lambda        AB|SDSS|SDSS_z            6452.287625718559    All      7.362584954378187e-06     3.0251144953549257e-06     0.00011958201033663934    3.923539073972745e-06     
Lambda        AB|SDSS|SDSS_i            5427.031131809589    All      6.9025642588048544e-06    5.9403350482460535e-06     9.71052369986844e-05      4.019931028749499e-06     
Lambda        AB|SDSS|SDSS_g            3424.851332397803    All      -0.0010294307402849956    -0.00016146714183132055    -0.004716693804357355     7.223991767319787e-05     
MWEBV         All|All|All               All                  All      -0.8150604391653957       -2.583800350166676         0.19985184508010123       -0.5672183088681781       
Redshift      All|All|All               All                  All      5.941053883271879         2.451021721671509          12.374443590866601        -0.5846037099842494       
