#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6032.617755350997    All      1.280450488423717          0.07492705107834396        0.06763913265817305        -0.3896602202512062       
Zeropoint     AB|PS|PS_i                7306.806626182651    All      0.583971554677875          -0.1750753889099066        -0.061628419996259086      -0.24999675476458275      
Zeropoint     AB|PS|PS_g                4750.346643297603    All      -1.1633759973069053        1.1786254699752696         -0.11367440480168017       0.7577941608548354        
Zeropoint     AB|PS|PS_z                8397.303724171437    All      0.2992146105526349         -0.0800583306154401        0.10972978072344669        -0.11864493850454814      
Check         All|All|All               All                  All      1.0002606563473213         0.9984188015282669         0.0020660885836804865      -0.0005077526655017234    
Lambda        AB|PS|PS_r                6032.617755350997    All      -0.00018503325693783445    -3.735078692727516e-05     -0.0010360556895926628     1.8706320965356597e-06    
Lambda        AB|PS|PS_i                7306.806626182651    All      -9.027000276013364e-05     -8.758172399265912e-05     -0.0013924343488743592     -6.126228893430382e-05    
Lambda        AB|PS|PS_g                4750.346643297603    All      -0.0003696039036746346     6.249938511513649e-05      -0.00035673851450074496    0.00012483065547334496    
Lambda        AB|PS|PS_z                8397.303724171437    All      0.0003841425817922968      -0.00010038759298876839    7.795935897906534e-05      -0.0001543484503586102    
MWEBV         All|All|All               All                  All      -0.7053006025492712        -4.0255681369663066        -0.011488931117768037      -1.0820330677459837       
Redshift      All|All|All               All                  All      5.875260953698629          0.6212232987520494         8.497978404133505          -1.3321871705473256       
