#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6032.617755350997    All      1.2497048982338494         0.11326906267257186        0.354501099500526         -0.3543547833647249        
Zeropoint     AB|PS|PS_i                7306.806626182651    All      0.6120416429505067         -0.20782290094194522       -0.3084490436124687       -0.28082151884930295       
Zeropoint     AB|PS|PS_g                4750.346643297603    All      -1.177654350266377         1.185631880068616          -0.12597670172342923      0.7641783134198318         
Zeropoint     AB|PS|PS_z                8397.303724171437    All      0.31637203959787163        -0.09256747892312234       0.08226852675293772       -0.12953378838952492       
Check         All|All|All               All                  All      1.0004642305158504         0.9985105628761204         0.002343880917565766      -0.0005317771837210217     
Lambda        AB|PS|PS_r                6032.617755350997    All      2.929916859173204e-06      -4.833292822221394e-05     -0.0006544141783200936    -4.590149430333549e-05     
Lambda        AB|PS|PS_i                7306.806626182651    All      -7.043030728892837e-05     -9.005515078706318e-05     -0.0012441678539141495    -6.191395422943756e-05     
Lambda        AB|PS|PS_g                4750.346643297603    All      -0.00043715485245864093    0.00013731205517729405     -0.0003947632801198486    0.00016950629910733413     
Lambda        AB|PS|PS_z                8397.303724171437    All      0.0004004082570390608      -0.00010567614944094488    0.00010138090266516762    -0.00016032417681266376    
MWEBV         All|All|All               All                  All      -0.6947296990150575        -4.028992697724476         -0.0012915144758762764    -1.0861367870334246        
Redshift      All|All|All               All                  All      4.991753103025086          0.3653683408314734         5.948678650339256         -1.241503513712422         
