#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -2.076224629174656         1.8417668068721582        -0.6089235369261482       1.2490452480416716        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      3.0737258353690304         -0.8377787853758534       0.6099178091880754        -1.246887909083426        
Check         All|All|All                            All                   All      0.9975012061943748         1.0039880214963048        0.0009942722619271649     0.002157338958245658      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -0.00042866171372734014    -6.886593911059276e-05    -0.002217398167560005     1.8245024645285554e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      -0.0007001803662867843     0.00013937847672574312    -0.0007292493138368454    0.00024092888827911387    
MWEBV         All|All|All                            All                   All      -0.5111401423865285        -2.946946416247087        -0.013952048620284183     -0.794044854893009        
Redshift      All|All|All                            All                   All      8.55677051862385           -0.5024892401694458       7.500666798294291         -2.616178634341035        
