#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -2.0636751540936746        1.8513783881351387         -0.559995601418084        1.2502717084151584        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      3.060364672147382          -0.8471452741217078        0.5641149382928035        -1.247630683948852        
Check         All|All|All                            All                   All      0.9966895180537066         1.0042331140134308         0.004119336874719437      0.0026410244663064297     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -0.00033401660131729784    -0.00013407586467920795    -0.002325147128947138     -3.863336157253031e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      -0.0010354755391866121     0.00022575315981722839     -0.0008137689684270503    0.0003745089089020634     
MWEBV         All|All|All                            All                   All      -0.5129265512150156        -2.946850788034716         -0.014956590647630108     -0.7934766416086078       
Redshift      All|All|All                            All                   All      8.247509289305485          0.05880770206143637        9.835930110002034         -2.228397121229241        
