#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4295.439770487818    All      -1.0713390654646955        0.22149681106791164       -0.6731656216714565       0.3910788880663249        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5312.144891526813    All      0.2295944692620846         1.6166407667530969        1.4277662603454644        0.5155212622665606        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7457.671300266958    All      0.4342192800150598         -0.3898117548372326       0.859926892456464         -0.23003943015822703      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6121.260314088615    All      1.4113886371802056         -0.4365223023120812       -1.6663834866756044       -0.6762884290445748       
Check         All|All|All                                All                  All      1.0038633209926544         1.0118035206716947        -0.05185595554513256      0.00027229113008375716    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4295.439770487818    All      -0.0009038029333840554     6.554361764637664e-05     -0.0019813129855266154    0.00022733116352224292    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5312.144891526813    All      5.873471281637175e-05      0.000559027047679874      0.000367289398450266      0.00017935211154761845    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7457.671300266958    All      -0.00011840816332649947    0.00011834128683776404    -0.000348817300125641     6.155097069936505e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6121.260314088615    All      -0.00032279166140595226    0.00010878467601452502    -0.0006631245621757641    0.0001109864079486637     
MWEBV         All|All|All                                All                  All      -0.849683781385703         -4.035770057907673        0.15871303409222826       -1.0307304856193271       
Redshift      All|All|All                                All                  All      9.91568637636848           -3.7664614647383132       7.4070065972019705        -4.126184995859975        
