#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4295.439770487818    All      -1.1584672452939317        0.3197256499341883         -0.6639148307351544       0.4518685874323792        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5312.144891526813    All      0.5329145494462639         1.3913167366474966         1.895398978498114         0.3641927841223043        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7457.671300266958    All      0.49225741520867433        -0.3631964687626166        0.49134592308415          -0.2567229617292386       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6121.260314088615    All      1.1278863101024212         -0.3514506742720691        -1.7470453212276158       -0.5598313333494052       
Check         All|All|All                                All                  All      0.9945910294634277         0.9963952435469992         -0.024215250380506204     -0.0004929235239602425    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4295.439770487818    All      -0.000603880817250292      -1.2885470244434833e-06    -0.0009021596957445958    0.00015602488335792795    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5312.144891526813    All      0.0001368982008204418      0.0003491604769148811      0.0004735024372397927     9.02710456013977e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7457.671300266958    All      -0.0002048819278952761     0.0002544356425983569      -0.0008303953909281247    0.0001125581113799609     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6121.260314088615    All      -0.00037297996622750063    0.0001083658391523839      -0.0009322896372808165    0.00011518635995844061    
MWEBV         All|All|All                                All                  All      -0.851929096454171         -4.018519892828554         0.07044650388538691       -1.0283190962026334       
Redshift      All|All|All                                All                  All      8.286459096562929          -2.4585195528229242        6.020735925009357         -3.231315253309307        
