#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5363.584773779076    All      -0.2215714299129632        0.9376659826396683        0.18111720724152125        0.38568419216440386       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7541.625116645583    All      0.6922165424816142         -0.25799464615472445      0.7167697993631705         -0.2775289010174542       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4332.54215370582     All      -0.9020421093707834        0.8493777540083514        0.05415721691772735        0.5729118573605418        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6194.402353754831    All      1.438917417418386          -0.5482211553002436       -0.9192584728612063        -0.6882986916940115       
Check         All|All|All                                All                  All      1.007520420616254          0.9808279351930516        0.03278575066121281        -0.007231543186519973     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5363.584773779076    All      -0.00032291527450188564    0.001161485409692932      -0.00031319724633333316    0.0004695415835332739     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7541.625116645583    All      -6.490558718898826e-05     -4.701119637099145e-05    -0.00014668665971509875    -7.171601182318331e-07    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4332.54215370582     All      -0.0013053413590110425     0.0011162373140734961     -0.00011262232434180941    0.0007837620243158667     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6194.402353754831    All      0.00023928009124892056     4.840423506843905e-06     0.00010025388011536449     -7.189084239943705e-05    
MWEBV         All|All|All                                All                  All      -0.8230082765037832        -4.073034542338583        0.14947939442082614        -1.051969898631644        
Redshift      All|All|All                                All                  All      8.997329492687122          -8.881965392506164        0.23159996024320062        -5.813539312912042        
