#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5363.584773779076    All      -0.007570672368124143      0.6455580562415797         0.1424944866191103         0.21910438868942084       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7541.625116645583    All      0.6825270227967373         -0.1684246322477101        0.8626358348237826         -0.23868747416077823      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4332.54215370582     All      -0.8962434730700327        0.7520455879799215         0.2357465066732591         0.5474222581316582        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6194.402353754831    All      1.219580112930224          -0.22909289689501122       -1.2264106712531129        -0.5266095347840104       
Check         All|All|All                                All                  All      0.9982929902888045         1.0000861150787799         0.014466156863039092       0.0012296378762904903     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5363.584773779076    All      -0.00011050343529088067    0.0005843114436658941      -0.0007551251460627322     0.0001926262977023389     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7541.625116645583    All      -0.00010459772254039541    -2.5553643362531934e-05    -0.00022606345840302857    1.5659083184576076e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4332.54215370582     All      -0.0009123548519130294     0.0007604503902634191      0.00035743394935872563     0.0005608383365598026     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6194.402353754831    All      -4.862249991332995e-05     4.342786477110813e-05      0.0006505954123187474      5.9016917319904395e-05    
MWEBV         All|All|All                                All                  All      -0.8197997039729286        -4.062579079396844         0.17505859207995533        -1.0484678658986846       
Redshift      All|All|All                                All                  All      7.590959787722039          -4.560354476284623         -6.048328083244432         -4.227991925541091        
