#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7843.605020039247     All      0.2278537355289214        0.9531521517430974        7.743966612393016         0.5818312189289965         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3615.819379618493     All      -1.4952673181688194       2.301360806321995         3.0484791517011           1.3727263088839952         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5359.3027417126905    All      1.685788523403738         -1.4120400955309975       -1.0055832277484134       -1.0539392576991102        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4351.139592655715     All      0.8552158243215064        -1.9646578474756815       -2.483209500648925        -1.0293398610378146        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6505.929004613278     All      -0.30094912102198335      1.1865204334876367        -7.134097815796009        0.16615575040572206        
Check         All|All|All                                     All                   All      0.9726416440633632        1.06433544854605          0.16955521990076683       0.03743415948178885        
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7843.605020039247     All      1.1356755286191192e-05    8.20100701138559e-05      0.0006810020365641028     5.34041022270185e-05       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3615.819379618493     All      -0.004394852752183785     0.006740349738071967      0.008679928831819868      0.0040144471466498615      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5359.3027417126905    All      0.0008729139680381227     -0.0006525137972770813    -0.0001468941472862273    -0.0005034372193789633     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4351.139592655715     All      0.0007677294675803928     -0.0017525486655117226    -0.0019968346353254366    -0.0009100470612806842     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6505.929004613278     All      2.9380019087874815e-05    -0.0001748823686748257    0.0007898059990307136     -3.1289565438271256e-05    
MWEBV         All|All|All                                     All                   All      -1.4813578529574631       -2.900612583886897        3.051802856842731         -0.32611001288012365       
Redshift      All|All|All                                     All                   All      6.42729364677114          -10.433840941947459       -52.91283312706991        -7.853482973005596         
