#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4316.924884428296    All      -1.1230784795562494        1.1045073375218983         -0.05500981894518281       0.7231431504503771         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5338.715404526886    All      0.4165026749653752         -0.3506180819980109        0.42986494088530686        -0.230693570052801         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7494.973398812893    All      0.5608447759664146         -0.10796494211540164       0.8835987135626201         -0.17842237600121738       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6151.877895136105    All      1.1428093929779248         0.36082226936544615        -1.2062743543761691        -0.308549416990884         
Check         All|All|All                                All                  All      0.9970783643534651         1.006746582773932          0.052179481126575          0.005477787405474777       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4316.924884428296    All      -0.0012473299161152045     0.0012252886847260401      -0.0012581510256725874     0.0007492677232326059      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5338.715404526886    All      0.00022921190071477409     -0.00024143396108548075    -0.00020394902398458218    -0.00016240614921372726    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7494.973398812893    All      -7.59982885524059e-05      -0.00012020465368144317    -0.0006023097567477922     -4.127778560374098e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6151.877895136105    All      -0.00020025516097439856    -0.00012709824241416447    -0.0008220140168110954     -1.2853095030256027e-05    
MWEBV         All|All|All                                All                  All      -0.8351766922606574        -4.030368733780421         0.14397273857125548        -1.0343543245392512        
Redshift      All|All|All                                All                  All      8.827414994802702          -0.6982399159820574        12.117132502549591         -2.562087217568555         
