#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1 4316.924884428296 All 0.04885784232908352 -0.1578515673448928 -0.8454168885313362 -0.10505912814422458
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1 5338.715404526886 All -0.7520865481710224 0.8887517552196682 1.007328566155485 0.5794274648058606
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1 7494.973398812893 All 1.2987561832120287 -0.9291681574779611 -0.617619482842191 -0.7532697751919772
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1 6151.877895136105 All 0.2158404416383779 0.6513647927665227 1.6646139838619507 0.216148686292258
Check All|All|All All All 0.8113679190084679 0.453096823163337 1.2089061786439084 -0.06275275223808321
