#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4199.833077288249     All      -1.0989724316326357       0.5381970863870933        -0.17721088726681755       0.5253718652977769         
Zeropoint     AB|MEGACAMPSF|z           5915.1985790595245    All      0.4595467262382869        0.003754614312967419      0.07553033452626082        -0.14509591403753153       
Zeropoint     AB|MEGACAMPSF|g           3292.3931378966477    All      -0.3741911375711238       0.0861650133639813        0.026369609377460603       0.1511298981823509         
Zeropoint     AB|MEGACAMPSF|i           5135.915987377409     All      1.996746193229441         0.3734984115276063        0.0780793585272159         -0.5252608826005232        
Check         All|All|All               All                   All      0.9831293502639684        1.0016151255916483        0.0027684151641197696      0.006144966842073107       
Lambda        AB|MEGACAMPSF|r           4199.833077288249     All      -0.0007770293790221981    0.0001544609133392357     -0.001650558530766669      0.00022976018685550494     
Lambda        AB|MEGACAMPSF|z           5915.1985790595245    All      -8.290072043973059e-05    -5.247879925860995e-07    -1.4104086183652138e-05    2.6203150697063243e-05     
Lambda        AB|MEGACAMPSF|g           3292.3931378966477    All      -0.0006682219357797344    0.00015085791785389218    -4.61749888393972e-06      0.00026659519748746806     
Lambda        AB|MEGACAMPSF|i           5135.915987377409     All      0.0006060774615333656     8.192264507768192e-05     -0.0002778851663456196     -0.00018313520659447348    
MWEBV         All|All|All               All                   All      -0.35428968805482564      -2.3578390402690275       0.016215504092973745       -0.6518983153594347        
Redshift      All|All|All               All                   All      7.1498105844858735        0.009498002719610099      3.5053614878822144         -2.169406533526515         
