#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4199.833077288249     All      -0.9249922923264365       0.505713313191869         -0.18046709495267432       0.4579744669412994         
Zeropoint     AB|MEGACAMPSF|z           5915.1985790595245    All      0.43432055900426064       0.01140456428245784       0.053435483896868696       -0.13537307277782795       
Zeropoint     AB|MEGACAMPSF|g           3292.3931378966477    All      -0.43622552178581553      0.09098767946600361       -0.03693442772694233       0.17008247057108405        
Zeropoint     AB|MEGACAMPSF|i           5135.915987377409     All      1.9175826406555099        0.3916326675158288        0.16296073480650541        -0.4897799193717231        
Check         All|All|All               All                   All      0.9906853855475186        0.9997382244561592        -0.0010053039762425442     0.002903945362832394       
Lambda        AB|MEGACAMPSF|r           4199.833077288249     All      -0.000639742727203465     0.00011430775981271119    -0.0017300796623212268     0.0001684135417844196      
Lambda        AB|MEGACAMPSF|z           5915.1985790595245    All      -9.745749422526706e-05    -7.63993920912874e-06     -5.7491281613534916e-05    2.6690960728040403e-05     
Lambda        AB|MEGACAMPSF|g           3292.3931378966477    All      -0.0005905680161645516    0.00012779110305245476    1.0743694134192979e-05     0.00023447264016722828     
Lambda        AB|MEGACAMPSF|i           5135.915987377409     All      0.0004837017466702272     6.777098062301191e-05     -0.0004031178771908847     -0.00015347163362292067    
MWEBV         All|All|All               All                   All      -0.3876376987230239       -2.349698029412295        0.04610584119115746        -0.6370501076371604        
Redshift      All|All|All               All                   All      7.262666948836458         0.32896846593004625       5.6376629300365355         -2.006950704068862         
