#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7286.74306315278     All      1.0787652530892706        -0.33031390066300403       0.4870426488955193         -0.437248961190094        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5980.962332013877    All      0.8590741367200927        0.27433009321091717        -0.815858700392269         -0.22687839917358843      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4196.989206224772    All      -0.520347853461606        0.3849486277802683         0.2031986561936705         0.3039526700783085        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5190.39166253008     All      -0.42333730818812176      0.6713673906116213         0.12422289788438512        0.36212483251136934       
Check         All|All|All                                All                  All      0.9941542281596356        1.0003322109398027         -0.0013944974186941295     0.0019501422259954881     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7286.74306315278     All      -9.913739718385262e-05    -0.00014888988387215283    -0.0004018038552652443     -3.413668236470315e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5980.962332013877    All      -4.322281090513586e-05    -0.00024182863835424086    -0.0002553683310700693     -7.608836768915456e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4196.989206224772    All      -0.0005850500718003697    0.0005357754515770104      -1.8474690704233957e-05    0.000364265306433518      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5190.39166253008     All      -0.0003535464708180133    0.0002733359997447004      -0.0011369005361801094     0.00015346159514854682    
MWEBV         All|All|All                                All                  All      -0.7133331271390992       -3.919373234278023         0.07862547476595871        -1.0408040446566735       
Redshift      All|All|All                                All                  All      9.125289963111479         -0.7377177649201982        12.361619337174945         -2.66106380418199         
