#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7286.74306315278     All      1.1071803841371395         -0.290597050304342         0.8902440696288421         -0.4155745918248632       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5980.962332013877    All      0.9070301735050396         0.09250804515765765        -1.1426732877569485        -0.3163089149088221       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4196.989206224772    All      -0.6522053909657992        0.5833136013664308         0.07576245381710643        0.4058301135196006        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5190.39166253008     All      -0.36916016702104015       0.6187600113111813         0.16879166741526175        0.3293305005759324        
Check         All|All|All                                All                  All      0.9928449996553393         1.0039846075309278         -0.007875096895738287      0.0032771073618476643     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7286.74306315278     All      -0.00018718572445171588    -0.00011811666430129497    -0.0006959961528052748     -8.561046509414245e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5980.962332013877    All      -0.00018993810995656323    3.235574079720855e-05      -0.0010536383064002602     2.5389382012031316e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4196.989206224772    All      -0.0005949301434044473     0.0005822414509122545      -0.00012457392610266412    0.0003778843538894583     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5190.39166253008     All      -0.00043928416842005434    0.0004725326264869943      -0.0013062646454881925     0.00023871613631112906    
MWEBV         All|All|All                                All                  All      -0.7257956936062753        -3.9068476031461685        0.1152698335308515         -1.0310292971811619       
Redshift      All|All|All                                All                  All      11.018705218842923         -3.833996900924941         19.72946480546898          -3.9575783196803305       
