#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3009.780637982288     All      -0.054253434462700145      0.010579267684107663      0.5939343576255872         0.04762270656075351        
Zeropoint     AB|SDSS|SDSS_g            3957.703972906138     All      -0.7695431957239132        0.5582588571797942        0.5716809018845516         0.4580203050364466         
Zeropoint     AB|SDSS|SDSS_z            7456.1614190596265    All      0.09106934994962712        0.0017361415402206148     0.284302634601271          -0.016411644126720647      
Zeropoint     AB|SDSS|SDSS_r            5171.535963295641     All      0.5075593357651442         0.4024062236041459        -5.291954202666248         -0.270407439063933         
Zeropoint     AB|SDSS|SDSS_i            6271.391247926241     All      1.234759323192777          0.024425725256804753      4.004296621724662          -0.2155521044819849        
Check         All|All|All               All                   All      1.0095913787209352         0.9974062152650731        0.16226031316982414        0.0032718239245615177      
Lambda        AB|SDSS|SDSS_u            3009.780637982288     All      -4.8970501668361895e-05    6.355344135565018e-06     0.0009249239593293177      5.929655642737572e-05      
Lambda        AB|SDSS|SDSS_g            3957.703972906138     All      -0.0005754886626252753     0.0003273808167541231     -0.00020470216982759558    0.0002849593752811133      
Lambda        AB|SDSS|SDSS_z            7456.1614190596265    All      -1.8538585456321326e-05    3.439303083812268e-07     -6.991424478026434e-05     3.03070496084897e-06       
Lambda        AB|SDSS|SDSS_r            5171.535963295641     All      3.652609302921862e-05      3.073611546831925e-05     -0.0005782273387084074     -2.7689616600635566e-05    
Lambda        AB|SDSS|SDSS_i            6271.391247926241     All      -9.50084042195068e-05      -2.319119433773831e-05    -0.00025335137410605594    1.2087319748937727e-05     
MWEBV         All|All|All               All                   All      -0.6993394726380955        -3.224112164842552        1.01589651830937           -0.7770667326371573        
Redshift      All|All|All               All                   All      3.593350313369901          0.042836279479807615      -4.843714844083917         -1.3726719763940034        
