#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3009.780637982288     All      -0.20053062372284186       0.05304114400228599       -0.05134655510943276       0.08030530608310604        
Zeropoint     AB|SDSS|SDSS_g            3957.703972906138     All      -0.5985159341380144        0.5011110701403254        1.0717916941225258         0.40601383269482927        
Zeropoint     AB|SDSS|SDSS_z            7456.1614190596265    All      0.051588613588559304       0.0013916548489589786     0.05243515778055041        -0.014010860626600952      
Zeropoint     AB|SDSS|SDSS_r            5171.535963295641     All      0.7731868123601777         0.38392250949552675       -2.287738626497049         -0.2288874575552921        
Zeropoint     AB|SDSS|SDSS_i            6271.391247926241     All      0.9689870232628623         0.05457930431251867       1.3117845037007525         -0.2393137595906647        
Check         All|All|All               All                   All      0.9947158913507432         0.9940456827996158        0.09692617399734704        0.004107061005377555       
Lambda        AB|SDSS|SDSS_u            3009.780637982288     All      -0.00013709953655901029    9.447907407724206e-06     0.00046084596146193154     6.830076243876844e-05      
Lambda        AB|SDSS|SDSS_g            3957.703972906138     All      -0.0003865469504985411     0.0002363531902278638     0.0002517093514735196      0.00021413170093754954     
Lambda        AB|SDSS|SDSS_z            7456.1614190596265    All      -2.0234647349115705e-05    2.3154100272491084e-07    -8.724163184270149e-05     2.7733175209741076e-06     
Lambda        AB|SDSS|SDSS_r            5171.535963295641     All      -2.285514413678323e-05     2.014255286139998e-05     -0.000709179549712483      -1.7641661665285658e-05    
Lambda        AB|SDSS|SDSS_i            6271.391247926241     All      -3.458006835195613e-05     -7.549819431222472e-06    -0.00038456166646650254    -8.356579604292247e-06     
MWEBV         All|All|All               All                   All      -0.7807333620439123        -3.230155078051311        0.8624371862309577         -0.7593706258937322        
Redshift      All|All|All               All                   All      3.8086119881754503         0.20436939499610673       0.17912498388836795        -1.166026863318123         
