#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          4143.151762063939     All      -0.6445580275283374        0.47411211832901756       -0.27108922448157063       0.3522902026395374         
Zeropoint     AB|DECam|DECam_i          5033.411901313428     All      0.6843539338009854         0.34374662016389834       0.27648862577779953        -0.09860859019724058       
Zeropoint     AB|DECam|DECam_g          3117.3214288227355    All      -0.3087886458083392        0.08325334981922339       -0.0031952533321152445     0.1275583862935058         
Zeropoint     AB|DECam|DECam_z          5898.418462221748     All      1.254307983437371          0.09939276886292703       0.0031397209766879097      -0.37605376964190157       
Check         All|All|All               All                   All      0.9853152439016799         1.0005048571750663        0.005343868940801566       0.00518622909390104        
Lambda        AB|DECam|DECam_r          4143.151762063939     All      -0.0004645682019213715     0.0002940306213584026     -0.00047250244065830436    0.00022601498010084247     
Lambda        AB|DECam|DECam_i          5033.411901313428     All      -0.0002689774441821939     -9.186001217419154e-05    -0.0019211743332969266     -2.8040212265041243e-05    
Lambda        AB|DECam|DECam_g          3117.3214288227355    All      -0.0008661486450850912     0.00021275326495092008    -0.00026738037455375304    0.00033950188883457563     
Lambda        AB|DECam|DECam_z          5898.418462221748     All      -0.00028999813994000313    -8.795527963575434e-06    0.00019658598255167282     0.00010036967152638662     
MWEBV         All|All|All               All                   All      -0.3767296666529114        -2.1918684803235777       0.06532958919762556        -0.5883350683878148        
Redshift      All|All|All               All                   All      5.102966747597953          0.2298985108305729        9.131709447394073          -1.1798123916854697        
