#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5859.2499913600495    All      1.2592494088953905         -0.14460336364763293      -0.6918832434220131       -0.488156604850762         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4128.189117063533     All      -0.3842934936351948        0.2339038033325913        -0.1623655994741223       0.19412156672307213        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7110.061891154147     All      0.5717532619281779         -0.12353840518084525      0.18625542159269814       -0.21816764636834643       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4444.820897359507     All      -1.0442252803917804        0.5342451529442904        -0.42676768355370315      0.4951150686284083         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5173.382724001594     All      0.596504639899046          0.4973396096050742        1.096417856286375         0.01662678046164869        
Check         All|All|All                      All                   All      0.9989885366956395         0.9973467970534777        0.0016567514292344931     -0.00046083540597933667    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5859.2499913600495    All      -0.0002269250251510858     -8.114633059767205e-05    -0.0009374444786955123    5.651075235221034e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4128.189117063533     All      -0.00033660508459170595    0.0002091155717911051     -0.0002504414655931748    0.00016658311908682283     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7110.061891154147     All      -0.00025119085648248133    -6.451686835521976e-05    -0.0005381964666390615    3.678862286570362e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4444.820897359507     All      -0.0006948924010182641     0.0004407006176889114     -0.0010236625184737711    0.00032421864940595076     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5173.382724001594     All      0.00028396306383875517     0.00035419822555278284    -0.0007554179920990438    -1.0832932639590005e-05    
MWEBV         All|All|All                      All                   All      -0.766096022425053         -3.8193945747954317       0.040304374202039236      -0.9927611899363842        
Redshift      All|All|All                      All                   All      4.038876570511351          -0.3697934101580813       17.8353863343626          -0.6401374765022007        
