#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5859.2499913600495    All      1.249411424278459          -0.035334349420423905      -0.5580569123455892        -0.44338748230952074      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4128.189117063533     All      -0.5995848011260176        0.2988549131911711         -0.39751335786492037       0.27491217729306017       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7110.061891154147     All      0.5020994869359724         -0.12030236422857499       0.3218483230623348         -0.1883741468745953       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4444.820897359507     All      -0.917855148166443         0.4074767933987644         -0.44191543823233204       0.41198355912943907       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5173.382724001594     All      0.7661977411694569         0.45401760427994375        1.191514685126771          -0.04851551303815815      
Check         All|All|All                      All                   All      1.000268703091428          1.0047125972208804         0.11587729974626426        0.006618594200225036      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5859.2499913600495    All      -0.0004865833736497426     -3.59409852744828e-05      -0.0010629599846119172     9.935402947342903e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4128.189117063533     All      -0.00032872545620269165    0.00013737903491519855     -0.0003533207151579611     0.00013605848636522787    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7110.061891154147     All      -0.00022146463926697374    -1.4139068475237602e-05    -0.00042666982978152416    4.849244433604799e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4444.820897359507     All      -0.00041064524592787356    0.0002725492579917933      -0.001147811634729331      0.00017131736480838715    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5173.382724001594     All      0.0001967711463930288      0.00013753717812607565     -0.0015911583874924377     -9.030054311186226e-05    
MWEBV         All|All|All                      All                   All      -0.780361393787548         -3.8136469732187983        0.049211030956813895       -0.9858448430586864       
Redshift      All|All|All                      All                   All      5.100285377205786          0.39172312584483393        20.90635592206468          -0.6007789869830915       
