#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          4056.5744319014575    All      -0.8171188366749589        0.6485808914172608        0.04503969378098857        0.4794365362020245        
Zeropoint     AB|DECam|DECam_r          5391.488779462582     All      0.49548881216785046        0.44888216922984725       -0.34840812732019866       -0.03072917145956691      
Zeropoint     AB|DECam|DECam_z          7675.619620508781     All      0.4279803175348421         -0.04575381856088967      0.2165357053850824         -0.1446477994977119       
Zeropoint     AB|DECam|DECam_i          6549.98545716462      All      0.890549894022804          -0.053336109239765506     0.08567363479223004        -0.30363150335375705      
Check         All|All|All               All                   All      0.9969001870505377         0.9983731328464529        -0.001159093361897609      0.00042806189098865133    
Lambda        AB|DECam|DECam_g          4056.5744319014575    All      -0.0007465573277857767     0.0004829275895500802     -0.000608990910321271      0.0003733072190950628     
Lambda        AB|DECam|DECam_r          5391.488779462582     All      0.00012170275116248687     4.374008669444265e-05     -0.0010302204192226398     -7.136901039138303e-05    
Lambda        AB|DECam|DECam_z          7675.619620508781     All      -0.00015196097115633406    1.6840055172944275e-05    -7.589140257120013e-05     5.159736292411202e-05     
Lambda        AB|DECam|DECam_i          6549.98545716462      All      -0.00035525667538597835    1.2935625128305917e-05    -0.00025344812463084463    0.00010862211968725034    
MWEBV         All|All|All               All                   All      -0.5004936757527374        -3.2765324041958976       0.06652121612252761        -0.9012786064607081       
Redshift      All|All|All               All                   All      7.231353860189032          -1.3320204129884772       1.3558906996218851         -2.7288655528759973       
