#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          4056.5744319014575    All      -0.8141241270932588        0.6602600672477976        0.19067840127507396        0.4887645391907953        
Zeropoint     AB|DECam|DECam_r          5391.488779462582     All      0.4485997864689294         0.4824965337855147        -0.4438421538223436        -0.008765351060936732     
Zeropoint     AB|DECam|DECam_z          7675.619620508781     All      0.4282277426663788         -0.06313410117666507      0.17059363472631262        -0.15243990745457298      
Zeropoint     AB|DECam|DECam_i          6549.98545716462      All      0.934278066678067          -0.08094034944150508      0.08223810417753441        -0.3270201289404723       
Check         All|All|All               All                   All      0.9969814687201164         0.9986821504151422        -0.00033201364342261286    0.0005391517348133368     
Lambda        AB|DECam|DECam_g          4056.5744319014575    All      -0.0007815229846377578     0.0004957718530316258     -0.0005958003213926763     0.00038946911844905117    
Lambda        AB|DECam|DECam_r          5391.488779462582     All      0.0001257575549995676      5.177968989961023e-05     -0.0011805726896494681     -7.678056142734024e-05    
Lambda        AB|DECam|DECam_z          7675.619620508781     All      -0.00012536572170431038    2.3944398790137766e-05    7.530537110021565e-06      4.897127168681469e-05     
Lambda        AB|DECam|DECam_i          6549.98545716462      All      -0.00039988808806669943    1.3629372098462463e-05    -0.0003423863463588385     0.0001194171109817593     
MWEBV         All|All|All               All                   All      -0.5067169964783198        -3.278531652597927        0.057023669848421665       -0.9003265190066362       
Redshift      All|All|All               All                   All      7.266954278523376          -1.5241757953321056       0.821338760455631          -2.8269077080368272       
