#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5715.161876746469    All      1.1574864142335963         0.07343757742681589        -0.6451771408427343        -0.3819016628997508        
Zeropoint     AB|MEGACAMPSF|g           3672.398428857935    All      -0.4917638944883997        0.2202657847211853         -0.08045461646649654       0.22834117158100162        
Zeropoint     AB|MEGACAMPSF|z           6589.024010269364    All      0.8004449106208826         -0.027371547712284894      0.6440625750496975         -0.24090550017959578       
Zeropoint     AB|MEGACAMPSF|r           4678.212739944781    All      -0.47610932748356705       0.7343754149649939         0.08538185543174315        0.3981049044438794         
Check         All|All|All               All                  All      0.9900581028825122         1.0007072294007102         0.0038126731722099017      0.003638912945534478       
Lambda        AB|MEGACAMPSF|i           5715.161876746469    All      -0.00020487141605910503    -2.8845052182681054e-05    -0.0001189511393776063     5.2029334782310075e-05     
Lambda        AB|MEGACAMPSF|g           3672.398428857935    All      -0.000794749535687716      0.0003303465933280532      -0.0003211240632914733     0.0003521505317084161      
Lambda        AB|MEGACAMPSF|z           6589.024010269364    All      -0.00024253091183752337    6.621227667174712e-06      -0.00023887433650364274    7.049718417058601e-05      
Lambda        AB|MEGACAMPSF|r           4678.212739944781    All      -0.00022126450533693683    -0.00011638753616713247    -0.0015110534521172155     -3.3269496342102336e-05    
MWEBV         All|All|All               All                  All      -0.4563227118221702        -2.7771780581403505        0.018491117419550118       -0.7551537665249843        
Redshift      All|All|All               All                  All      3.360362673608135          0.7767147159386312         2.1672050087654604         -0.7448667333774057        
