#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5715.161876746469    All      1.1728613277976438         0.0674867874440821         -0.6686819471257474        -0.38989705769048505      
Zeropoint     AB|MEGACAMPSF|g           3672.398428857935    All      -0.5160410032050756        0.23038734485840706        -0.0784865178799876        0.23963377691007312       
Zeropoint     AB|MEGACAMPSF|z           6589.024010269364    All      0.8064026218516485         -0.042707189715507354      0.503538524987954          -0.2541123888090574       
Zeropoint     AB|MEGACAMPSF|r           4678.212739944781    All      -0.4729790924827426        0.7456177560886346         0.24736841912535923        0.40797600064871387       
Check         All|All|All               All                  All      0.9902438539614741         1.0007846986756164         0.0037384791075782964      0.0036003310592445104     
Lambda        AB|MEGACAMPSF|i           5715.161876746469    All      -0.00020447923755952818    -1.4089589174569003e-05    -1.6276802563786562e-06    6.194353621818739e-05     
Lambda        AB|MEGACAMPSF|g           3672.398428857935    All      -0.0008608880542430548     0.0003377688495026295      -0.0005052020250666145     0.0003678971421210287     
Lambda        AB|MEGACAMPSF|z           6589.024010269364    All      -0.0002072814452385018     9.81699605974098e-06       -0.00015845768491818259    6.364486594933282e-05     
Lambda        AB|MEGACAMPSF|r           4678.212739944781    All      -0.0001663837072870145     -0.00013261594564759744    -0.001510172154647807      -5.639277639978258e-05    
MWEBV         All|All|All               All                  All      -0.44927064078898704       -2.7808867658682956        0.012880955737094732       -0.7589092619359371       
Redshift      All|All|All               All                  All      2.824801421525518          0.7977389291648151         2.1990195234725554         -0.5621488005358185       
