#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6095.639037401799    All      1.1576463420453167        -0.11016409030117913      -0.11190618253433982       -0.41796142649957674       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4321.325491187168    All      -1.0682285399208133       0.7696789419117778        -0.0764295805865657        0.5952562310398148         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5406.205538548028    All      0.39679686660523855       0.4424755305358907        -0.0008834942258555622     0.01483961733606189        
Zeropoint     AB|CNIa02|SDSS_i                      7392.027742047783    All      0.5109874296069499        -0.10350761308135503      0.19053491476603954        -0.19165855353920438       
Check         All|All|All                           All                  All      0.9972020983366919        0.9984827690651343        0.001315657419278471       0.0004758683370956196      
Lambda        AB|CNIa02|SDSS_r                      6095.639037401799    All      -9.246702974116417e-05    -3.409887837329797e-05    -0.00039285859321778235    1.4809524746026092e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4321.325491187168    All      -0.0004131464207426761    0.0001348290155227436     -0.000895190983945954      0.00013854536529798827     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5406.205538548028    All      3.6023033775058505e-05    -1.329271465870112e-05    -0.0007223565263123764     -4.8299215810604304e-05    
Lambda        AB|CNIa02|SDSS_i                      7392.027742047783    All      -9.692862489963351e-05    -3.368871395804789e-05    -0.0004504048797587995     4.998183761010039e-07      
MWEBV         All|All|All                           All                  All      -0.8822186583374307       -4.037525013041776        0.027333677841052482       -1.0265673097199093        
Redshift      All|All|All                           All                  All      5.126692594815956         -0.35973078121847024      2.487246996751473          -1.6761141815894054        
