#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6095.639037401799    All      1.1353171908091233         -0.12848061749162198       -0.19759163745340924       -0.4204781311504438        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4321.325491187168    All      -1.1212296918530154        0.8226505664683081         0.005741906387241036       0.633441986806637          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5406.205538548028    All      0.34188229289256694        0.4437694922097002         -0.049990998547727594      0.030957144142050346       
Zeropoint     AB|CNIa02|SDSS_i                      7392.027742047783    All      0.625033678619925          -0.1338082212792635        0.22842417873111254        -0.23698624997166973       
Check         All|All|All                           All                  All      0.9810034704686            1.0041312199071228         -0.013416550882783262      0.0069347498265737995      
Lambda        AB|CNIa02|SDSS_r                      6095.639037401799    All      -6.792137567746974e-06     -3.9595182478732316e-05    -0.00022634278558097973    -2.0785669881296275e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4321.325491187168    All      -0.0004825800042008876     0.00015652641206626646     -0.0009945664937897484     0.00016379505101562169     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5406.205538548028    All      8.217633971460074e-05      -3.478352643603067e-06     -0.0005241317023941132     -5.129014188475483e-05     
Lambda        AB|CNIa02|SDSS_i                      7392.027742047783    All      -0.00010318144140759089    -5.038266061341633e-05     -0.000585495930638525      -8.929694365896866e-06     
MWEBV         All|All|All                           All                  All      -0.8919741542978477        -4.037323259680292         0.009214698214732309       -1.024132472875253         
Redshift      All|All|All                           All                  All      4.864286579772278          -0.2763850281252367        2.964350062610388          -1.5422005372377496        
