#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6040.774518687103    All      1.513224124217452          0.01714127225822537       -0.019433996237011662      -0.48819065454192095       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4582.525213378854    All      -1.1438053521273248        1.0869825175125136        -0.11059091370883838       0.721705835329553          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7330.337630533935    All      0.6305218832334937         -0.1048675056414261       0.1326716053230497         -0.23361999314190943       
Check         All|All|All                      All                  All      0.9999406553236208         0.9992562841293129        0.002646695377199665       -0.00010481235427736713    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6040.774518687103    All      -0.0002003387136769602     -4.987211469241925e-05    -0.0006652514550568067     1.9324804443569524e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4582.525213378854    All      -0.0002525760040245105     5.4922646568807446e-05    -0.0008998760398220596     6.000509222726247e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7330.337630533935    All      -0.00013138853653717176    -3.160654763912754e-05    -0.00047061949254927884    1.1500690038694792e-05     
MWEBV         All|All|All                      All                  All      -0.8161194417444446        -3.980954077275456        0.006061760635670097       -1.0306202522227768        
Redshift      All|All|All                      All                  All      7.560669889250121          -0.9748729302212489       3.1917817245697213         -2.637872548275348         
